,,,,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,QtyActual,LineTotal W/ CRV & ST 
,,,,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,Total,Total
Class,InventoryNum,Description,InventoryPackageNum,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,Total,Total
Coffee & Tea,COF00459,Five Mountain Tea Individ Wrap Bags Bergamot Black 100 ct,BOX,,,,,,,,,,,,,,,,,,,,,,6,5,4,,,,,,,,,,,,,,,,,,,,,,$280.02 ,$233.35 ,$186.68 ,15,$700.05 
Coffee & Tea,COF00467,Five Mountain Tea Individ Wrap Bags Spring Jade 100ct,BOX,,,,,,,,,,,,,,,,,,,,,,7,5,6,,,,,,,,,,,,,,,,,,,,,,$326.69 ,$233.35 ,$280.02 ,18,$840.06 
Coffee & Tea,COF00472,Five Mountain Tea Individ Wrap Bags Spiced Chai 100ct,BOX,,,,,,,,,,,,,,,,,,,,,,3,5,3,,,,,,,,,,,,,,,,,,,,,,$140.01 ,$233.35 ,$140.01 ,11,$513.37 
Coffee & Tea,COF00216,Sightglass Owl's Howl Espresso 5 lb Bags,BAG,10,8,11,9,12,10,11,13,9,2,4,4,9,6,8,3,7,5,5,7,5,6,4,8,$833.33 ,$666.67 ,$916.63 ,$749.99 ,"$1,010.42 ",$859.40 ,$945.34 ,"$1,117.22 ",$773.44 ,$171.88 ,$343.76 ,$343.76 ,$773.46 ,$515.64 ,$687.52 ,$269.27 ,$641.66 ,$458.33 ,$458.33 ,$641.67 ,$458.33 ,$549.99 ,$366.68 ,$733.33 ,176,"$15,286.05 "
Coffee & Tea,COF00460,Five Mountain Tea Individ Wrap Bags Cedarburg Rooibos 100 ct,BOX,,,,,,,,,,,,,,,,,,,,,,4,3,3,,,,,,,,,,,,,,,,,,,,,,$186.68 ,$140.01 ,$140.01 ,10,$466.70 
Coffee & Tea,COF00454,ZOLO Mama Zolo's Espresso Dark 5 lb,BAG,14,17,3,9,13,7,12,12,7,11,9,10,6,7,9,9,6,7,3,6,4,4,2,3,"$1,007.58 ","$1,223.49 ",$215.91 ,$647.73 ,$946.86 ,$519.54 ,$890.64 ,$890.64 ,$519.54 ,$816.42 ,$667.98 ,$742.19 ,$445.32 ,$519.54 ,$667.98 ,$692.71 ,$475.00 ,$554.16 ,$237.51 ,$475.01 ,$316.66 ,$316.66 ,$158.34 ,$237.51 ,190,"$14,184.92 "
Coffee & Tea,COF00047,Numi Tea Aged Earl Grey 18 ct,BOX,,3,3,,,,,,,,,,,,,,,,,,,,,,,$16.86 ,$16.86 ,,,,,,,,,,,,,,,,,,,,,,6,$33.72 
Coffee & Tea,COF00053,Tazo Tea Decaf Lotus Blossom Green 20 ct,BOX,,1,,,,,,,,,,,,,,,,,,,,,,,,$4.29 ,,,,,,,,,,,,,,,,,,,,,,,1,$4.29 
Coffee & Tea,COF00108,Numi Tea Roobios 100 ct,BOX,2,2,,1,3,2,1,2,,2,2,1,3,4,3,4,1,2,3,3,2,,,,$48.49 ,$48.49 ,,$24.24 ,$74.24 ,$50.00 ,$25.00 ,$50.00 ,,$50.00 ,$50.00 ,$25.00 ,$89.06 ,$128.12 ,$96.09 ,$134.54 ,$34.17 ,$68.34 ,$102.50 ,$102.51 ,$68.34 ,,,,43,"$1,269.13 "
Coffee & Tea,COF00109,Numi Tea Jasmine Green 100 ct,BOX,9,8,8,4,8,7,3,6,6,4,7,4,8,6,5,8,10,7,6,9,4,,,,$218.19 ,$193.94 ,$193.95 ,$96.98 ,$196.22 ,$175.00 ,$75.00 ,$150.00 ,$150.00 ,$100.00 ,$175.00 ,$100.00 ,$227.48 ,$177.48 ,$155.25 ,$271.19 ,$341.66 ,$239.16 ,$204.99 ,$307.52 ,$136.68 ,,,,137,"$3,885.69 "
Coffee & Tea,COF00110,Numi Aged Earl Grey 100 ct,BOX,7,5,4,4,5,4,3,4,3,3,5,3,6,4,4,6,5,3,5,5,4,,,,$169.71 ,$121.21 ,$96.97 ,$96.98 ,$122.73 ,$100.00 ,$75.00 ,$100.00 ,$75.00 ,$75.00 ,$125.00 ,$75.00 ,$178.12 ,$128.12 ,$128.12 ,$202.87 ,$170.84 ,$102.50 ,$170.83 ,$170.85 ,$136.68 ,,,,92,"$2,621.53 "
Coffee & Tea,COF00111,Numi Breakfast Blend 100 ct,BOX,6,1,5,3,3,4,2,6,1,,6,2,6,5,3,5,6,3,5,5,3,,,,$145.46 ,$24.24 ,$121.21 ,$72.73 ,$74.24 ,$100.00 ,$50.00 ,$150.00 ,$25.00 ,,$150.00 ,$50.00 ,$178.12 ,$160.15 ,$96.09 ,$168.71 ,$205.00 ,$102.51 ,$170.83 ,$170.85 ,$102.51 ,,,,80,"$2,317.65 "
Coffee & Tea,COF00112,Numi Tea Golden Chai 100 ct,BOX,7,,3,2,4,5,2,4,,1,5,1,4,3,2,2,3,3,3,2,2,,,,$169.70 ,,$72.72 ,$48.48 ,$97.73 ,$125.00 ,$50.00 ,$100.00 ,,$25.00 ,$125.00 ,$25.00 ,$121.09 ,$96.09 ,$64.06 ,$68.34 ,$102.51 ,$102.51 ,$102.50 ,$68.34 ,$68.34 ,,,,58,"$1,632.41 "
Coffee & Tea,COF00114,Numi Tea Gunpowder Green 100 ct,BOX,8,5,8,4,7,5,2,6,,2,6,3,4,4,4,5,3,4,4,6,3,,,,$193.95 ,$121.21 ,$193.95 ,$96.98 ,$171.22 ,$125.00 ,$50.00 ,$150.00 ,,$50.00 ,$150.00 ,$75.00 ,$114.06 ,$128.12 ,$128.12 ,$168.70 ,$102.51 ,$136.67 ,$136.67 ,$205.01 ,$102.51 ,,,,93,"$2,599.68 "
Coffee & Tea,COF00116,Numi Tea Morrocan Mint 100 ct,BOX,9,6,5,4,7,4,1,4,,3,7,3,6,7,3,5,5,6,3,5,4,,,,$218.19 ,$145.46 ,$121.22 ,$96.98 ,$171.22 ,$100.00 ,$25.00 ,$100.00 ,,$75.00 ,$175.00 ,$75.00 ,$178.12 ,$224.21 ,$96.09 ,$168.70 ,$170.85 ,$205.00 ,$108.37 ,$185.50 ,$148.40 ,,,,97,"$2,788.31 "
Coffee & Tea,COF00117,Numi Tea Lemon Mate 100 ct,BOX,3,4,5,3,6,4,1,4,,2,3,2,6,2,8,3,4,3,,,2,,,,$72.73 ,$96.97 ,$121.22 ,$72.73 ,$146.22 ,$100.00 ,$25.00 ,$100.00 ,,$50.00 ,$75.00 ,$50.00 ,$171.09 ,$64.06 ,$256.24 ,$102.50 ,$136.67 ,$102.51 ,,,$68.33 ,,,,65,"$1,811.27 "
Coffee & Tea,COF00241,Philz Ether Whole Bean 4 lb,BAG,17,17,19,16,16,15,17,20,10,19,17,14,23,21,24,19,29,26,19,,,,,,$875.80 ,$875.83 ,$978.88 ,$824.31 ,$833.98 ,$796.95 ,$903.21 ,"$1,062.60 ",$531.28 ,"$1,009.46 ",$903.21 ,$743.82 ,"$1,221.90 ","$1,115.64 ","$1,275.05 ","$1,048.33 ","$1,643.31 ","$1,473.33 ","$1,076.67 ",,,,,,358,"$19,193.56 "
Coffee & Tea,COF00243,Philz Tesora Whole Bean 4 lb,BAG,,,,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,,,,,,,,,"$1,723.70 ",$680.00 ,,,,43,"$2,403.70 "
Coffee & Tea,COF00244,Philz Jacobs Wonderbar Whole Bean 4 lb,BAG,,,,,,,,,,,,,,,,,,3,3,31,18,,,,,,,,,,,,,,,,,,,,,$170.00 ,$170.01 ,"$1,756.65 ","$1,020.00 ",,,,55,"$3,116.66 "
Coffee & Tea,COF00302,Ghirardelli Cocoa Powder Sweet & Ground 6/10.5 oz,BAG,,10,,,,,,16,,,,,,,,,,,,,,,,,,$300.00 ,,,,,,$495.00 ,,,,,,,,,,,,,,,,,26,$795.00 
Coffee & Tea,COF00338,Numi Tea Moroccan Mint 18 ct,BOX,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,$5.80 ,,,,$7.07 ,,,,,2,$12.87 
Coffee & Tea,COF00339,Numi Tea Chamomile Lemon 18 ct,BOX,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,$21.20 ,$21.21 ,,,,,6,$42.41 
Coffee & Tea,COF00452,ZOLO Farmhouse Colombia French Dark Roast 5 lb,BAG,8,14,15,13,14,12,14,15,1,5,5,3,4,5,3,5,6,4,3,,,,,,$575.76 ,"$1,007.58 ","$1,079.55 ",$935.61 ,"$1,016.58 ",$890.64 ,"$1,039.08 ","$1,113.30 ",$74.22 ,$371.10 ,$371.10 ,$222.66 ,$296.88 ,$371.10 ,$222.66 ,$385.94 ,$474.99 ,$316.67 ,$237.51 ,,,,,,149,"$11,002.93 "
Coffee & Tea,COF00453,ZOLO Little Dog Medium Roast 5 lb,BAG,12,7,7,8,11,11,7,9,6,9,8,7,7,9,6,13,11,9,9,,,,,,$863.64 ,$503.79 ,$503.79 ,$575.76 ,$798.42 ,$816.41 ,$519.54 ,$667.98 ,$445.32 ,$667.98 ,$593.76 ,$519.54 ,$519.54 ,$667.98 ,$445.32 ,"$1,019.26 ",$870.82 ,$712.51 ,$712.50 ,,,,,,166,"$12,423.86 "
Coffee & Tea,COF00517,Big House Beans Peachfield Medium Roast WB 5 Lb,BAG,,,,,,,,,6,14,11,5,8,6,8,10,6,11,6,,,,,,,,,,,,,,$457.03 ,"$1,066.38 ",$837.87 ,$380.85 ,$609.36 ,$457.02 ,$609.36 ,$792.18 ,$487.50 ,$893.75 ,$487.50 ,,,,,,91,"$7,078.80 "
Condiments,CON00214,Truitt Family Foods Hummus Tasty Traditional All Natural 4/1.75 oz,PACK,,,,,,,,,,,,,,,,,,,,70,36,68,63,55,,,,,,,,,,,,,,,,,,,,$269.62 ,$138.66 ,$261.91 ,$242.62 ,$211.79 ,292,"$1,124.60 "
Condiments,CON00066,Woodstock Tomato Ketchup 14 oz,EACH,,48,16,,24,16,,16,44,37,15,48,16,24,32,,24,36,24,36,18,,32,16,,$143.28 ,$47.76 ,,$71.64 ,$49.25 ,,$49.25 ,$135.44 ,$113.89 ,$46.17 ,$147.75 ,$49.25 ,$73.87 ,$98.50 ,,$106.10 ,$159.15 ,$106.10 ,$159.15 ,$79.57 ,,$141.46 ,$70.73 ,522,"$1,848.31 "
Condiments,CON00019,Justins Almond Butter Classic Jar 16 oz,JAR,,,,,,,,,,,,,,,,,,,,,,,30,18,,,,,,,,,,,,,,,,,,,,,,,$415.00 ,$249.00 ,48,$664.00 
Condiments,CON00101,Tabasco Pepper Sauce 12 oz,EACH,6,,,,,2,,16,,,,24,,12,24,,,,,12,24,,24,,$56.55 ,,,,,$19.44 ,,$155.51 ,,,,$233.25 ,,$116.63 ,$233.25 ,,,,,$124.40 ,$248.80 ,,$248.80 ,,144,"$1,436.63 "
Condiments,CON00174,Best Foods Real Mayonnaise Squeeze Bottle 11.5 oz,EACH,24,24,12,24,36,28,,37,,29,12,36,,24,48,,24,36,,24,24,12,24,24,$157.82 ,$157.82 ,$78.91 ,$157.82 ,$241.66 ,$189.88 ,,$250.92 ,,$196.65 ,$81.38 ,$244.13 ,,$162.75 ,$325.50 ,,$173.60 ,$273.20 ,,$182.13 ,$182.13 ,$91.07 ,$182.14 ,$182.14 ,502,"$3,511.65 "
Condiments,CON00179,Heinz Yellow Mustard 13 oz,EACH,,20,,,,12,,4,,,,6,,,,,24,,,,,,18,12,,$81.52 ,,,,$50.44 ,,$16.81 ,,,,$25.22 ,,,,,$107.60 ,,,,,,$44.12 ,$29.41 ,96,$355.12 
Condiments,CON00016,Huy Fong Sriracha Hot Chili Sauce 17 oz,EACH,12,8,,,,29,,46,,,,12,,,24,,,,10,,24,,12,24,$38.73 ,$25.82 ,,,,$96.50 ,,$153.09 ,,,,$39.94 ,,,$79.87 ,,,,$32.71 ,,$78.50 ,,$39.25 ,$78.50 ,201,$662.91 
Condiments,CON00033,Maranatha Peanut Butter Crunchy 16 oz,JAR,,,,,12,,,,,,4,6,,24,12,,,9,6,12,,,12,12,,,,,$121.46 ,,,,,,$41.75 ,$62.63 ,,$250.50 ,$125.25 ,,,$100.20 ,$66.80 ,$133.60 ,,,$133.60 ,$133.60 ,109,"$1,169.39 "
Condiments,CON00056,Mccormick Salt Sea Grinder 2.12 oz,EACH,,,64,,,,,,,,,,,,,,,,,,24,12,12,12,,,$270.55 ,,,,,,,,,,,,,,,,,,$94.50 ,$47.25 ,$47.25 ,$47.25 ,124,$506.80 
Condiments,CON00057,Morton Salt & Pepper Shaker 5 oz,EACH,,,24,,,,,24,,,,,,12,,,,5,10,,12,,12,,,,$79.64 ,,,,,$82.13 ,,,,,,$41.06 ,,,,$18.25 ,$36.50 ,,$43.80 ,,$43.80 ,,99,$345.18 
Condiments,CON00070,Jif Creamy Peanut Butter 28 oz,JAR,,,,,,,,,,,,,,,,,,,,5,12,21,12,18,,,,,,,,,,,,,,,,,,,,$57.42 ,$137.80 ,$241.15 ,$137.80 ,$206.70 ,68,$780.87 
Condiments,CON00032,Marantha Peanut Butter Creamy 16 oz,JAR,12,,22,,12,,,,,,4,6,,24,12,6,,6,18,12,10,6,6,6,$121.46 ,,$222.67 ,,$121.46 ,,,,,,$41.75 ,$62.63 ,,$250.50 ,$125.25 ,$66.80 ,,$66.80 ,$200.40 ,$133.60 ,$111.33 ,$66.80 ,$66.80 ,$66.80 ,162,"$1,725.05 "
Condiments,CON00036,Adams 100% Natural Creamy Peanut Butter 16 oz,JAR,12,12,,,,24,,,,14,22,,12,12,,,,,,,,6,6,6,$88.91 ,$88.91 ,,,,$183.37 ,,,,$106.97 ,$168.10 ,,$91.69 ,$91.69 ,,,,,,,,$51.98 ,$51.98 ,$51.98 ,126,$975.58 
Condiments,CON00062,Woodstock Peanut Butter Classic Crunchy 16 oz,EACH,12,12,9,,12,12,,13,,,,,,15,,,,12,6,,10,6,6,,$107.82 ,$107.82 ,$80.86 ,,$107.82 ,$111.19 ,,$120.45 ,,,,,,$138.99 ,,,,$119.58 ,$59.79 ,,$99.65 ,$59.79 ,$59.79 ,,125,"$1,173.55 "
Condiments,CON00175,Adams 100% Natural Crunchy Peanut Butter 16 oz,JAR,12,12,12,24,,24,,12,12,14,18,12,12,1,,,,,,,,12,6,6,$88.91 ,$88.91 ,$88.91 ,$177.82 ,,$183.37 ,,$91.69 ,$91.68 ,$106.97 ,$137.53 ,$91.69 ,$91.69 ,$7.64 ,,,,,,,,$103.96 ,$51.98 ,$51.98 ,189,"$1,454.73 "
Condiments,CON00002,Organicville Olive Oil & Balsamic Vinaigrette 8 oz,BOTTLE,3,6,3,12,,,,6,,5,5,,,,,,,,,,,,,,$10.73 ,$21.45 ,$10.73 ,$42.91 ,,,,$22.13 ,,$18.44 ,$18.44 ,,,,,,,,,,,,,,40,$144.83 
Condiments,CON00003,Organicville Dijon Vinaigrette 8 oz,BOTTLE,1,7,2,12,,,,25,,,,,,,,,,,,,,,,,$3.58 ,$25.03 ,$7.16 ,$42.91 ,,,,$92.20 ,,,,,,,,,,,,,,,,,47,$170.88 
Condiments,CON00004,Organicville Ranch Non-Dairy 8 oz,BOTTLE,4,,6,12,,,,14,,,,,,,,,,,,,,,,,$14.30 ,,$21.47 ,$42.91 ,,,,$51.63 ,,,,,,,,,,,,,,,,,36,$130.31 
Condiments,CON00005,Organicville Thousand Island 8 oz,BOTTLE,3,1,3,12,,,,10,,,,,,,,,,,,,,,,,$10.71 ,$3.57 ,$10.71 ,$42.85 ,,,,$36.82 ,,,,,,,,,,,,,,,,,29,$104.66 
Condiments,CON00010,Crofters Strawberry Spread 10 oz,JAR,24,24,12,12,24,24,6,24,12,18,12,,12,12,12,12,12,,,,,,,,$102.73 ,$102.73 ,$51.36 ,$51.36 ,$102.73 ,$105.94 ,$26.48 ,$105.94 ,$52.97 ,$79.45 ,$52.97 ,,$53.06 ,$53.06 ,$53.06 ,$57.00 ,$57.00 ,,,,,,,,252,"$1,107.84 "
Condiments,CON00011,Crofters Raspberry Spread 10 oz,JAR,,24,,,,24,,24,,,12,,6,,12,12,6,,,,,,,,,$102.73 ,,,,$105.94 ,,$105.94 ,,,$52.97 ,,$26.53 ,,$53.06 ,$57.00 ,$28.50 ,,,,,,,,120,$532.67 
Condiments,CON00055,Mccormick Peppercorn Black Grinder 1.24 oz,EACH,,,,,,,,,,,,,,,,,,,,,12,12,,12,,,,,,,,,,,,,,,,,,,,,$56.20 ,$56.20 ,,$56.20 ,36,$168.60 
Condiments,CON00112,Smucker's Strawberry Preserves 32 oz,JAR,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,$25.92 ,,,,,5,$25.92 
Condiments,CON00115,Nutella Hazelnut Spread 33.5 oz,JAR,,,,,,,,,,,,,,,,,,,,,12,12,,6,,,,,,,,,,,,,,,,,,,,,$141.20 ,$141.20 ,,$70.60 ,30,$353.00 
Condiments,CON00189,Tapatio Hot Sauce 5 oz,EACH,12,12,,24,,26,,36,24,,18,12,,,24,,12,20,,,,36,,24,$13.82 ,$13.82 ,,$27.64 ,,$30.88 ,,$42.75 ,$28.50 ,,$21.38 ,$14.25 ,,,$28.50 ,,$15.20 ,$25.33 ,,,,$45.60 ,,$30.40 ,280,$338.07 
Dairy,DAI00131,Clover Milk Organic Non Fat HGAL 64 oz,EACH,182,128,157,143,167,152,137,173,145,170,170,98,181,149,167,159,142,173,148,184,162,169,181,104,$871.60 ,$613.03 ,$751.97 ,$684.91 ,$810.19 ,$750.84 ,$676.63 ,$854.47 ,$716.17 ,$839.66 ,$839.61 ,$484.08 ,$893.88 ,$735.95 ,$824.91 ,$824.61 ,$748.00 ,$911.11 ,$785.89 ,"$1,018.04 ",$896.38 ,$935.02 ,"$1,001.61 ",$575.52 ,"3,741","$19,044.08 "
Dairy,DAI00126,Clover Milk Organic Half & Half QT 32 oz,EACH,102,93,150,128,145,122,120,111,113,123,121,77,122,101,113,119,121,123,114,144,123,134,142,90,$397.01 ,$361.91 ,$583.89 ,$498.30 ,$572.22 ,$490.25 ,$482.12 ,$446.08 ,$453.95 ,$494.12 ,$486.10 ,$309.34 ,$490.12 ,$405.80 ,$454.00 ,$501.41 ,$518.14 ,$526.74 ,$491.25 ,$640.46 ,$547.04 ,$596.00 ,$631.36 ,$400.20 ,"2,851","$11,777.81 "
Dairy,DAI00130,Clover Milk Organic 2% HGAL 64 oz,EACH,139,122,143,128,127,141,124,161,118,153,136,83,144,125,134,140,139,159,145,161,140,151,136,91,$665.71 ,$584.32 ,$684.93 ,$613.05 ,$617.42 ,$696.49 ,$612.49 ,$795.14 ,$582.88 ,$755.70 ,$671.72 ,$409.95 ,$711.17 ,$617.40 ,$661.91 ,$725.29 ,$732.13 ,$837.46 ,$767.91 ,$890.80 ,$774.64 ,$835.41 ,$752.57 ,$503.52 ,"3,240","$16,500.01 "
Dairy,DAI00132,Clover Milk Organic Whole VitD HGAL 64 oz,EACH,131,112,136,132,147,141,107,130,93,136,110,67,143,128,141,141,150,149,131,171,141,143,133,85,$627.42 ,$536.43 ,$651.36 ,$632.20 ,$713.18 ,$696.50 ,$528.54 ,$642.13 ,$459.41 ,$671.79 ,$543.34 ,$330.97 ,$706.24 ,$632.27 ,$696.49 ,$729.53 ,$790.09 ,$784.82 ,$694.52 ,$946.13 ,$780.15 ,$791.12 ,$735.88 ,$470.28 ,"3,098","$15,790.79 "
Dairy,DAI00104,Califia Farms Unsweetened Almond Milk 48 oz,EACH,65,62,67,57,46,47,41,72,34,61,55,41,80,64,77,76,87,81,79,109,96,96,94,60,$312.13 ,$297.71 ,$321.67 ,$273.69 ,$223.07 ,$232.74 ,$202.96 ,$356.57 ,$168.38 ,$302.02 ,$272.34 ,$203.01 ,$396.24 ,$316.91 ,$382.71 ,$407.92 ,$475.91 ,$443.08 ,$432.17 ,$596.30 ,$525.13 ,$525.16 ,$514.31 ,$328.21 ,"1,647","$8,510.34 "
Dairy,DAI00117,Silk Original 64 oz,EACH,,,,,,1,15,47,39,39,34,16,44,39,45,45,36,52,42,52,53,52,60,41,,,,,,$4.93 ,$73.95 ,$231.71 ,$192.24 ,$192.26 ,$167.61 ,$78.87 ,$216.59 ,$191.88 ,$221.71 ,$234.87 ,$190.80 ,$275.60 ,$222.70 ,$280.76 ,$286.19 ,$280.76 ,$323.85 ,$221.33 ,752,"$3,888.61 "
Dairy,DAI00105,Califia Farms Vanilla Almond Milk 48 oz,EACH,57,35,46,38,45,46,30,4,74,46,44,18,39,44,40,48,49,61,45,62,56,58,57,42,$273.72 ,$168.01 ,$220.83 ,$182.44 ,$218.70 ,$227.76 ,$148.51 ,$19.81 ,$366.47 ,$227.73 ,$217.83 ,$89.11 ,$193.12 ,$217.87 ,$199.10 ,$257.81 ,$268.03 ,$333.67 ,$246.16 ,$339.15 ,$306.32 ,$317.27 ,$311.83 ,$229.74 ,"1,084","$5,580.99 "
Dairy,DAI00323,Chobani Vanilla Non Fat 32 oz,EACH,60,56,66,55,61,77,51,63,50,70,68,31,58,61,54,45,78,81,74,78,65,63,45,31,$407.37 ,$380.20 ,$448.06 ,$373.38 ,$420.07 ,$539.00 ,$357.00 ,$441.00 ,$350.00 ,$490.00 ,$476.00 ,$217.00 ,$439.55 ,$462.35 ,$406.99 ,$342.16 ,$603.10 ,$626.28 ,$572.18 ,$603.12 ,$502.63 ,$487.12 ,$348.00 ,$239.74 ,"1,441","$10,532.30 "
Dairy,DAI00197,Fagetotal Plain 0% 35.3 oz,EACH,80,60,88,63,78,71,48,73,48,52,59,27,49,48,42,54,63,67,57,68,49,50,41,31,$652.00 ,$489.00 ,$717.20 ,$513.44 ,$643.02 ,$596.49 ,$403.30 ,$613.27 ,$403.30 ,$436.88 ,$495.71 ,$226.87 ,$411.91 ,$403.52 ,$353.87 ,$480.38 ,$569.57 ,$605.85 ,$515.41 ,$614.88 ,$443.01 ,$452.13 ,$370.78 ,$280.33 ,"1,366","$11,692.12 "
Dairy,DAI00172,Chobani Plain Non Fat 32 oz,EACH,69,60,62,58,55,60,38,63,45,57,46,23,78,48,56,41,56,55,48,73,64,68,39,28,$468.46 ,$407.34 ,$420.88 ,$393.78 ,$376.34 ,$420.00 ,$266.00 ,$441.00 ,$315.00 ,$399.00 ,$322.00 ,$161.00 ,$604.79 ,$378.72 ,$441.84 ,$338.81 ,$471.38 ,$463.01 ,$404.06 ,$614.48 ,$538.71 ,$572.43 ,$328.24 ,$235.66 ,"1,290","$9,782.93 "
Dairy,DAI00016,Sargento Deli Style Pepper Jack Cheese With Habanero 7.5 oz,BAG,30,27,43,30,36,42,40,45,36,40,37,22,40,37,56,40,41,38,36,40,32,36,35,25,$199.50 ,$179.55 ,$285.95 ,$199.52 ,$242.34 ,$288.12 ,$274.40 ,$308.70 ,$246.96 ,$274.40 ,$253.82 ,$150.92 ,$274.40 ,$253.82 ,$384.16 ,$288.10 ,$300.06 ,$278.12 ,$263.40 ,$292.66 ,$234.13 ,$263.40 ,$256.07 ,$182.90 ,884,"$6,175.40 "
Dairy,DAI00028,Knudsen Reduced Fat Cottage Cheese 16 oz,EACH,39,25,48,31,35,33,33,41,36,15,39,11,39,30,34,34,36,41,40,38,48,30,31,22,$218.03 ,$139.75 ,$268.33 ,$173.29 ,$198.47 ,$190.33 ,$190.28 ,$236.41 ,$207.57 ,$86.48 ,$224.88 ,$63.44 ,$224.86 ,$172.98 ,$196.09 ,$204.49 ,$221.40 ,$252.15 ,$246.00 ,$233.70 ,$295.20 ,$184.50 ,$190.65 ,$135.30 ,809,"$4,754.58 "
Dairy,DAI00015,Sargento Deli Style Natural Swiss 7 oz,BAG,21,30,34,31,19,38,31,35,22,24,21,14,48,30,39,21,35,40,30,39,40,43,30,20,$139.65 ,$199.50 ,$226.10 ,$206.16 ,$127.61 ,$260.68 ,$212.66 ,$240.10 ,$150.92 ,$164.63 ,$144.06 ,$96.04 ,$329.27 ,$205.80 ,$267.54 ,$153.24 ,$256.18 ,$292.75 ,$219.50 ,$285.35 ,$292.66 ,$314.61 ,$219.48 ,$146.31 ,735,"$5,150.80 "
Dairy,DAI00403,Straus Yogurt Whole Milk Plain 32 oz,EACH,36,32,52,45,42,43,28,25,27,50,39,24,59,41,39,50,35,46,50,41,35,50,29,23,$190.87 ,$169.67 ,$275.68 ,$238.60 ,$225.69 ,$235.21 ,$153.16 ,$136.75 ,$147.69 ,$273.49 ,$213.33 ,$131.28 ,$322.70 ,$224.27 ,$214.05 ,$295.08 ,$211.05 ,$277.38 ,$301.50 ,$247.23 ,$211.05 ,$301.50 ,$174.87 ,$138.69 ,941,"$5,310.79 "
Dairy,DAI00014,Sargento Deli Style Medium Cheddar Cheese 8 oz,BAG,23,23,21,23,27,23,25,34,26,19,14,10,22,21,30,26,27,34,33,31,32,30,28,28,$152.95 ,$152.95 ,$139.65 ,$152.96 ,$181.86 ,$157.78 ,$171.50 ,$233.24 ,$178.36 ,$130.34 ,$96.04 ,$68.60 ,$150.92 ,$144.06 ,$205.80 ,$187.51 ,$197.62 ,$248.82 ,$241.45 ,$226.81 ,$234.13 ,$219.50 ,$204.87 ,$204.84 ,610,"$4,282.56 "
Dairy,DAI00018,Sargento Cheese Provolone Deluxe Sliced 8 oz,BAG,11,27,34,33,36,29,24,31,13,28,24,13,32,24,35,30,28,31,24,27,30,25,23,18,$73.15 ,$179.55 ,$226.10 ,$219.46 ,$242.55 ,$198.94 ,$164.64 ,$212.66 ,$89.18 ,$192.08 ,$164.64 ,$89.18 ,$219.51 ,$164.64 ,$240.10 ,$218.15 ,$204.95 ,$226.89 ,$175.60 ,$197.55 ,$219.50 ,$182.92 ,$168.28 ,$131.69 ,630,"$4,401.91 "
Dairy,DAI00025,Tillamook Medium Cheddar Tillamoos 52 ct,BAG,,,,,,,,,,,,,,,,,,,,,,,22,20,,,,,,,,,,,,,,,,,,,,,,,$538.62 ,$489.66 ,42,"$1,028.28 "
Dairy,DAI00024,Frigo String Cheese Sticks 60 ct,BAG,19,10,16,12,13,15,11,15,11,13,13,7,15,14,13,16,19,18,19,21,17,19,20,16,$338.22 ,$178.00 ,$284.80 ,$213.60 ,$234.76 ,$275.40 ,$201.96 ,$275.40 ,$201.96 ,$238.68 ,$238.68 ,$128.52 ,$275.40 ,$257.04 ,$238.68 ,$307.18 ,$372.03 ,$352.44 ,$372.05 ,$411.20 ,$332.86 ,$372.02 ,$391.66 ,$313.31 ,362,"$6,805.85 "
