,,,,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,QtyActual,LineTotal W/ CRV & ST 
,,,,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,Total,Total
Class,InventoryNum,Description,InventoryPackageNum,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,Total,Total
Beverages,BEV01084,Teas Tea White 67.5 oz,EACH,12,18,24,30,12,30,11,12,12,19,36,,24,18,12,,25,21,48,43,24,39,28,18,$58.18 ,$87.27 ,$116.36 ,$145.45 ,$59.69 ,$151.50 ,$55.55 ,$60.60 ,$60.60 ,$95.95 ,$181.80 ,,$121.20 ,$90.90 ,$60.60 ,,$139.79 ,$117.42 ,$268.40 ,$240.44 ,$134.20 ,$218.08 ,$156.56 ,$100.65 ,516,"$2,721.19 "
Beverages,BEV01617,Coca Cola Diet Coke 12/12 Oz,CASE,,,,,,,,,26,31,32,21,29,20,32,35,23,24,22,25,22,22,27,21,,,,,,,,,$229.08 ,$273.13 ,$276.72 ,$171.34 ,$236.65 ,$163.18 ,$271.50 ,$329.11 ,$217.36 ,$226.81 ,$207.91 ,$236.26 ,$208.28 ,$212.02 ,$260.22 ,$202.41 ,412,"$3,721.97 "
Beverages,BEV00661,LaCroix Lemon 24/12 oz,CASE,,,,,22,26,17,30,20,22,23,23,24,20,34,38,33,25,25,39,27,28,26,29,,,,,$299.04 ,$355.16 ,$232.22 ,$429.27 ,$290.13 ,$319.14 ,$333.65 ,$333.65 ,$348.15 ,$290.13 ,$497.17 ,$671.81 ,$512.55 ,$388.30 ,$388.31 ,$605.75 ,$419.36 ,$434.93 ,$403.87 ,$450.44 ,531,"$8,003.05 "
Beverages,BEV01638,Diet Dr Pepper Can 12/12 oz,CASE,,,,,,,,,,,7,18,21,19,23,29,22,26,19,23,21,26,24,21,,,,,,,,,,,$61.39 ,$144.45 ,$168.54 ,$153.25 ,$184.74 ,$245.04 ,$187.38 ,$221.45 ,$161.83 ,$195.90 ,$178.86 ,$212.05 ,$188.36 ,$164.82 ,299,"$2,468.06 "
Beverages,BEV01061,LaCroix Passion Fruit 24/12 oz,CASE,,,,,3,28,23,35,32,29,19,,13,18,32,38,34,27,27,38,32,16,23,18,,,,,$40.98 ,$382.48 ,$314.18 ,$498.46 ,$464.25 ,$420.71 ,$275.62 ,,$188.58 ,$261.12 ,$467.34 ,$583.09 ,$528.09 ,$419.36 ,$419.36 ,$590.24 ,$497.02 ,$248.53 ,$357.26 ,$279.57 ,485,"$7,236.26 "
Beverages,BEV01509,LaCroix Tangerine 24/12 oz,CASE,,,,,21,19,15,24,18,7,19,17,17,22,19,24,19,15,17,21,20,33,23,21,,,,,$285.76 ,$259.54 ,$204.90 ,$340.54 ,$261.12 ,$101.55 ,$275.62 ,$246.61 ,$246.61 ,$319.14 ,$277.83 ,$368.34 ,$295.11 ,$232.99 ,$264.06 ,$326.18 ,$310.65 ,$512.57 ,$357.25 ,$326.17 ,391,"$5,812.52 "
Beverages,BEV00417,Vitamin Water Power C 24/20 oz,CASE,1,,2,,,,4,,,6,,,,3,,,,,16,10,22,24,22,13,$37.96 ,,$75.92 ,,,,$156.43 ,,,$234.65 ,,,,$117.32 ,,,,,$687.47 ,$429.66 ,$945.26 ,"$1,031.20 ",$945.26 ,$558.55 ,123,"$5,219.68 "
Beverages,BEV00178,Red Bull Sugar Free 24/8.4 oz Can,CASE,18,14,19,19,18,23,19,24,18,22,17,18,23,26,32,25,33,28,25,34,29,29,20,16,"$1,056.19 ",$821.48 ,"$1,114.87 ","$1,114.87 ","$1,070.53 ","$1,390.78 ","$1,148.94 ","$1,451.31 ","$1,088.46 ","$1,330.33 ","$1,027.96 ","$1,088.45 ","$1,390.74 ","$1,572.14 ","$1,934.96 ","$1,582.68 ","$2,125.62 ","$1,803.57 ","$1,610.33 ","$2,190.02 ","$1,867.96 ","$1,868.01 ","$1,288.29 ","$1,030.65 ",549,"$33,969.14 "
Beverages,BEV00662,LaCroix Lime 24/12 oz,CASE,,,,,4,34,21,38,34,36,27,23,22,18,36,42,35,35,21,32,31,12,20,20,,,,,$54.64 ,$464.45 ,$286.86 ,$545.33 ,$493.22 ,$522.23 ,$391.67 ,$333.65 ,$319.14 ,$261.12 ,$526.45 ,$643.44 ,$543.62 ,$543.62 ,$326.17 ,$497.02 ,$481.49 ,$186.41 ,$310.68 ,$310.65 ,541,"$8,041.87 "
Beverages,BEV00668,LaCroix Peach Pear 24/12 oz,CASE,,,,,1,19,9,17,12,15,22,12,22,25,8,2,10,3,16,16,10,39,20,1,,,,,$13.66 ,$259.54 ,$122.94 ,$241.53 ,$174.08 ,$217.60 ,$319.14 ,$174.08 ,$319.14 ,$362.66 ,$117.14 ,$31.06 ,$155.33 ,$46.60 ,$248.52 ,$248.52 ,$155.32 ,$605.76 ,$310.66 ,$15.54 ,279,"$4,138.81 "
